split_seed,split_role,position,experiment_id
10,initial_train,0,Q006
10,initial_train,1,Q012
10,initial_train,2,Q014
10,initial_train,3,Q029
10,initial_train,4,Q038
10,initial_train,5,Q043
10,initial_train,6,Q044
10,initial_train,7,Q059
10,initial_train,8,Q067
10,initial_train,9,Q077
10,initial_train,10,Q078
10,initial_train,11,Q079
10,initial_train,12,Q082
10,initial_train,13,Q083
10,initial_train,14,Q094
10,acquisition_pool,0,Q001
10,acquisition_pool,1,Q003
10,acquisition_pool,2,Q004
10,acquisition_pool,3,Q005
10,acquisition_pool,4,Q008
10,acquisition_pool,5,Q009
10,acquisition_pool,6,Q010
10,acquisition_pool,7,Q011
10,acquisition_pool,8,Q016
10,acquisition_pool,9,Q018
10,acquisition_pool,10,Q024
10,acquisition_pool,11,Q026
10,acquisition_pool,12,Q027
10,acquisition_pool,13,Q028
10,acquisition_pool,14,Q030
10,acquisition_pool,15,Q031
10,acquisition_pool,16,Q033
10,acquisition_pool,17,Q034
10,acquisition_pool,18,Q037
10,acquisition_pool,19,Q040
10,acquisition_pool,20,Q041
10,acquisition_pool,21,Q045
10,acquisition_pool,22,Q047
10,acquisition_pool,23,Q048
10,acquisition_pool,24,Q049
10,acquisition_pool,25,Q051
10,acquisition_pool,26,Q054
10,acquisition_pool,27,Q057
10,acquisition_pool,28,Q058
10,acquisition_pool,29,Q060
10,acquisition_pool,30,Q062
10,acquisition_pool,31,Q064
10,acquisition_pool,32,Q068
10,acquisition_pool,33,Q069
10,acquisition_pool,34,Q070
10,acquisition_pool,35,Q071
10,acquisition_pool,36,Q084
10,acquisition_pool,37,Q085
10,acquisition_pool,38,Q087
10,acquisition_pool,39,Q089
10,test,0,Q002
10,test,1,Q007
10,test,2,Q013
10,test,3,Q015
10,test,4,Q017
10,test,5,Q019
10,test,6,Q020
10,test,7,Q021
10,test,8,Q022
10,test,9,Q023
10,test,10,Q025
10,test,11,Q032
10,test,12,Q035
10,test,13,Q036
10,test,14,Q039
10,test,15,Q042
10,test,16,Q046
10,test,17,Q050
10,test,18,Q052
10,test,19,Q053
10,test,20,Q055
10,test,21,Q056
10,test,22,Q061
10,test,23,Q063
10,test,24,Q065
10,test,25,Q066
10,test,26,Q072
10,test,27,Q073
10,test,28,Q074
10,test,29,Q075
10,test,30,Q076
10,test,31,Q080
10,test,32,Q081
10,test,33,Q086
10,test,34,Q088
10,test,35,Q090
10,test,36,Q091
10,test,37,Q092
10,test,38,Q093
10,test,39,Q095
