split_seed,split_role,position,experiment_id
14,initial_train,0,Q003
14,initial_train,1,Q011
14,initial_train,2,Q023
14,initial_train,3,Q027
14,initial_train,4,Q038
14,initial_train,5,Q039
14,initial_train,6,Q042
14,initial_train,7,Q043
14,initial_train,8,Q056
14,initial_train,9,Q065
14,initial_train,10,Q069
14,initial_train,11,Q070
14,initial_train,12,Q087
14,initial_train,13,Q088
14,initial_train,14,Q089
14,acquisition_pool,0,Q002
14,acquisition_pool,1,Q005
14,acquisition_pool,2,Q007
14,acquisition_pool,3,Q008
14,acquisition_pool,4,Q010
14,acquisition_pool,5,Q013
14,acquisition_pool,6,Q017
14,acquisition_pool,7,Q018
14,acquisition_pool,8,Q021
14,acquisition_pool,9,Q029
14,acquisition_pool,10,Q030
14,acquisition_pool,11,Q034
14,acquisition_pool,12,Q036
14,acquisition_pool,13,Q037
14,acquisition_pool,14,Q041
14,acquisition_pool,15,Q047
14,acquisition_pool,16,Q048
14,acquisition_pool,17,Q049
14,acquisition_pool,18,Q051
14,acquisition_pool,19,Q052
14,acquisition_pool,20,Q057
14,acquisition_pool,21,Q059
14,acquisition_pool,22,Q060
14,acquisition_pool,23,Q063
14,acquisition_pool,24,Q064
14,acquisition_pool,25,Q067
14,acquisition_pool,26,Q068
14,acquisition_pool,27,Q072
14,acquisition_pool,28,Q073
14,acquisition_pool,29,Q077
14,acquisition_pool,30,Q078
14,acquisition_pool,31,Q079
14,acquisition_pool,32,Q080
14,acquisition_pool,33,Q081
14,acquisition_pool,34,Q083
14,acquisition_pool,35,Q084
14,acquisition_pool,36,Q085
14,acquisition_pool,37,Q090
14,acquisition_pool,38,Q094
14,acquisition_pool,39,Q095
14,test,0,Q001
14,test,1,Q004
14,test,2,Q006
14,test,3,Q009
14,test,4,Q012
14,test,5,Q014
14,test,6,Q015
14,test,7,Q016
14,test,8,Q019
14,test,9,Q020
14,test,10,Q022
14,test,11,Q024
14,test,12,Q025
14,test,13,Q026
14,test,14,Q028
14,test,15,Q031
14,test,16,Q032
14,test,17,Q033
14,test,18,Q035
14,test,19,Q040
14,test,20,Q044
14,test,21,Q045
14,test,22,Q046
14,test,23,Q050
14,test,24,Q053
14,test,25,Q054
14,test,26,Q055
14,test,27,Q058
14,test,28,Q061
14,test,29,Q062
14,test,30,Q066
14,test,31,Q071
14,test,32,Q074
14,test,33,Q075
14,test,34,Q076
14,test,35,Q082
14,test,36,Q086
14,test,37,Q091
14,test,38,Q092
14,test,39,Q093
