split_seed,split_role,position,experiment_id
15,initial_train,0,Q003
15,initial_train,1,Q016
15,initial_train,2,Q017
15,initial_train,3,Q020
15,initial_train,4,Q025
15,initial_train,5,Q033
15,initial_train,6,Q041
15,initial_train,7,Q042
15,initial_train,8,Q049
15,initial_train,9,Q052
15,initial_train,10,Q057
15,initial_train,11,Q078
15,initial_train,12,Q079
15,initial_train,13,Q081
15,initial_train,14,Q083
15,acquisition_pool,0,Q001
15,acquisition_pool,1,Q004
15,acquisition_pool,2,Q005
15,acquisition_pool,3,Q006
15,acquisition_pool,4,Q008
15,acquisition_pool,5,Q009
15,acquisition_pool,6,Q010
15,acquisition_pool,7,Q012
15,acquisition_pool,8,Q014
15,acquisition_pool,9,Q023
15,acquisition_pool,10,Q024
15,acquisition_pool,11,Q026
15,acquisition_pool,12,Q027
15,acquisition_pool,13,Q028
15,acquisition_pool,14,Q031
15,acquisition_pool,15,Q032
15,acquisition_pool,16,Q034
15,acquisition_pool,17,Q035
15,acquisition_pool,18,Q036
15,acquisition_pool,19,Q039
15,acquisition_pool,20,Q046
15,acquisition_pool,21,Q051
15,acquisition_pool,22,Q056
15,acquisition_pool,23,Q058
15,acquisition_pool,24,Q063
15,acquisition_pool,25,Q064
15,acquisition_pool,26,Q065
15,acquisition_pool,27,Q066
15,acquisition_pool,28,Q071
15,acquisition_pool,29,Q072
15,acquisition_pool,30,Q074
15,acquisition_pool,31,Q075
15,acquisition_pool,32,Q080
15,acquisition_pool,33,Q084
15,acquisition_pool,34,Q085
15,acquisition_pool,35,Q086
15,acquisition_pool,36,Q088
15,acquisition_pool,37,Q090
15,acquisition_pool,38,Q094
15,acquisition_pool,39,Q095
15,test,0,Q002
15,test,1,Q007
15,test,2,Q011
15,test,3,Q013
15,test,4,Q015
15,test,5,Q018
15,test,6,Q019
15,test,7,Q021
15,test,8,Q022
15,test,9,Q029
15,test,10,Q030
15,test,11,Q037
15,test,12,Q038
15,test,13,Q040
15,test,14,Q043
15,test,15,Q044
15,test,16,Q045
15,test,17,Q047
15,test,18,Q048
15,test,19,Q050
15,test,20,Q053
15,test,21,Q054
15,test,22,Q055
15,test,23,Q059
15,test,24,Q060
15,test,25,Q061
15,test,26,Q062
15,test,27,Q067
15,test,28,Q068
15,test,29,Q069
15,test,30,Q070
15,test,31,Q073
15,test,32,Q076
15,test,33,Q077
15,test,34,Q082
15,test,35,Q087
15,test,36,Q089
15,test,37,Q091
15,test,38,Q092
15,test,39,Q093
