split_seed,split_role,position,experiment_id
7,initial_train,0,Q002
7,initial_train,1,Q003
7,initial_train,2,Q005
7,initial_train,3,Q011
7,initial_train,4,Q020
7,initial_train,5,Q024
7,initial_train,6,Q025
7,initial_train,7,Q029
7,initial_train,8,Q033
7,initial_train,9,Q041
7,initial_train,10,Q049
7,initial_train,11,Q055
7,initial_train,12,Q057
7,initial_train,13,Q088
7,initial_train,14,Q091
7,acquisition_pool,0,Q001
7,acquisition_pool,1,Q007
7,acquisition_pool,2,Q008
7,acquisition_pool,3,Q013
7,acquisition_pool,4,Q015
7,acquisition_pool,5,Q017
7,acquisition_pool,6,Q018
7,acquisition_pool,7,Q021
7,acquisition_pool,8,Q027
7,acquisition_pool,9,Q030
7,acquisition_pool,10,Q036
7,acquisition_pool,11,Q037
7,acquisition_pool,12,Q038
7,acquisition_pool,13,Q040
7,acquisition_pool,14,Q043
7,acquisition_pool,15,Q045
7,acquisition_pool,16,Q046
7,acquisition_pool,17,Q047
7,acquisition_pool,18,Q051
7,acquisition_pool,19,Q052
7,acquisition_pool,20,Q054
7,acquisition_pool,21,Q058
7,acquisition_pool,22,Q059
7,acquisition_pool,23,Q062
7,acquisition_pool,24,Q065
7,acquisition_pool,25,Q066
7,acquisition_pool,26,Q068
7,acquisition_pool,27,Q071
7,acquisition_pool,28,Q075
7,acquisition_pool,29,Q076
7,acquisition_pool,30,Q077
7,acquisition_pool,31,Q078
7,acquisition_pool,32,Q080
7,acquisition_pool,33,Q083
7,acquisition_pool,34,Q086
7,acquisition_pool,35,Q089
7,acquisition_pool,36,Q090
7,acquisition_pool,37,Q092
7,acquisition_pool,38,Q093
7,acquisition_pool,39,Q094
7,test,0,Q004
7,test,1,Q006
7,test,2,Q009
7,test,3,Q010
7,test,4,Q012
7,test,5,Q014
7,test,6,Q016
7,test,7,Q019
7,test,8,Q022
7,test,9,Q023
7,test,10,Q026
7,test,11,Q028
7,test,12,Q031
7,test,13,Q032
7,test,14,Q034
7,test,15,Q035
7,test,16,Q039
7,test,17,Q042
7,test,18,Q044
7,test,19,Q048
7,test,20,Q050
7,test,21,Q053
7,test,22,Q056
7,test,23,Q060
7,test,24,Q061
7,test,25,Q063
7,test,26,Q064
7,test,27,Q067
7,test,28,Q069
7,test,29,Q070
7,test,30,Q072
7,test,31,Q073
7,test,32,Q074
7,test,33,Q079
7,test,34,Q081
7,test,35,Q082
7,test,36,Q084
7,test,37,Q085
7,test,38,Q087
7,test,39,Q095
