split_seed,split_role,position,experiment_id
4,initial_train,0,Q001
4,initial_train,1,Q004
4,initial_train,2,Q008
4,initial_train,3,Q011
4,initial_train,4,Q013
4,initial_train,5,Q027
4,initial_train,6,Q032
4,initial_train,7,Q036
4,initial_train,8,Q040
4,initial_train,9,Q051
4,initial_train,10,Q057
4,initial_train,11,Q082
4,initial_train,12,Q085
4,initial_train,13,Q086
4,initial_train,14,Q090
4,acquisition_pool,0,Q002
4,acquisition_pool,1,Q003
4,acquisition_pool,2,Q006
4,acquisition_pool,3,Q009
4,acquisition_pool,4,Q012
4,acquisition_pool,5,Q014
4,acquisition_pool,6,Q015
4,acquisition_pool,7,Q017
4,acquisition_pool,8,Q019
4,acquisition_pool,9,Q022
4,acquisition_pool,10,Q028
4,acquisition_pool,11,Q031
4,acquisition_pool,12,Q033
4,acquisition_pool,13,Q034
4,acquisition_pool,14,Q037
4,acquisition_pool,15,Q038
4,acquisition_pool,16,Q039
4,acquisition_pool,17,Q041
4,acquisition_pool,18,Q042
4,acquisition_pool,19,Q043
4,acquisition_pool,20,Q044
4,acquisition_pool,21,Q045
4,acquisition_pool,22,Q046
4,acquisition_pool,23,Q047
4,acquisition_pool,24,Q050
4,acquisition_pool,25,Q053
4,acquisition_pool,26,Q058
4,acquisition_pool,27,Q059
4,acquisition_pool,28,Q060
4,acquisition_pool,29,Q062
4,acquisition_pool,30,Q065
4,acquisition_pool,31,Q066
4,acquisition_pool,32,Q072
4,acquisition_pool,33,Q073
4,acquisition_pool,34,Q074
4,acquisition_pool,35,Q078
4,acquisition_pool,36,Q083
4,acquisition_pool,37,Q088
4,acquisition_pool,38,Q089
4,acquisition_pool,39,Q092
4,test,0,Q005
4,test,1,Q007
4,test,2,Q010
4,test,3,Q016
4,test,4,Q018
4,test,5,Q020
4,test,6,Q021
4,test,7,Q023
4,test,8,Q024
4,test,9,Q025
4,test,10,Q026
4,test,11,Q029
4,test,12,Q030
4,test,13,Q035
4,test,14,Q048
4,test,15,Q049
4,test,16,Q052
4,test,17,Q054
4,test,18,Q055
4,test,19,Q056
4,test,20,Q061
4,test,21,Q063
4,test,22,Q064
4,test,23,Q067
4,test,24,Q068
4,test,25,Q069
4,test,26,Q070
4,test,27,Q071
4,test,28,Q075
4,test,29,Q076
4,test,30,Q077
4,test,31,Q079
4,test,32,Q080
4,test,33,Q081
4,test,34,Q084
4,test,35,Q087
4,test,36,Q091
4,test,37,Q093
4,test,38,Q094
4,test,39,Q095
