split_seed,split_role,position,experiment_id
12,initial_train,0,Q003
12,initial_train,1,Q004
12,initial_train,2,Q007
12,initial_train,3,Q008
12,initial_train,4,Q027
12,initial_train,5,Q036
12,initial_train,6,Q037
12,initial_train,7,Q040
12,initial_train,8,Q047
12,initial_train,9,Q063
12,initial_train,10,Q069
12,initial_train,11,Q077
12,initial_train,12,Q080
12,initial_train,13,Q084
12,initial_train,14,Q088
12,acquisition_pool,0,Q001
12,acquisition_pool,1,Q002
12,acquisition_pool,2,Q005
12,acquisition_pool,3,Q006
12,acquisition_pool,4,Q012
12,acquisition_pool,5,Q018
12,acquisition_pool,6,Q021
12,acquisition_pool,7,Q022
12,acquisition_pool,8,Q023
12,acquisition_pool,9,Q025
12,acquisition_pool,10,Q032
12,acquisition_pool,11,Q042
12,acquisition_pool,12,Q044
12,acquisition_pool,13,Q045
12,acquisition_pool,14,Q048
12,acquisition_pool,15,Q050
12,acquisition_pool,16,Q051
12,acquisition_pool,17,Q052
12,acquisition_pool,18,Q053
12,acquisition_pool,19,Q056
12,acquisition_pool,20,Q058
12,acquisition_pool,21,Q060
12,acquisition_pool,22,Q061
12,acquisition_pool,23,Q062
12,acquisition_pool,24,Q066
12,acquisition_pool,25,Q067
12,acquisition_pool,26,Q070
12,acquisition_pool,27,Q071
12,acquisition_pool,28,Q072
12,acquisition_pool,29,Q076
12,acquisition_pool,30,Q078
12,acquisition_pool,31,Q079
12,acquisition_pool,32,Q081
12,acquisition_pool,33,Q083
12,acquisition_pool,34,Q086
12,acquisition_pool,35,Q087
12,acquisition_pool,36,Q090
12,acquisition_pool,37,Q091
12,acquisition_pool,38,Q092
12,acquisition_pool,39,Q094
12,test,0,Q009
12,test,1,Q010
12,test,2,Q011
12,test,3,Q013
12,test,4,Q014
12,test,5,Q015
12,test,6,Q016
12,test,7,Q017
12,test,8,Q019
12,test,9,Q020
12,test,10,Q024
12,test,11,Q026
12,test,12,Q028
12,test,13,Q029
12,test,14,Q030
12,test,15,Q031
12,test,16,Q033
12,test,17,Q034
12,test,18,Q035
12,test,19,Q038
12,test,20,Q039
12,test,21,Q041
12,test,22,Q043
12,test,23,Q046
12,test,24,Q049
12,test,25,Q054
12,test,26,Q055
12,test,27,Q057
12,test,28,Q059
12,test,29,Q064
12,test,30,Q065
12,test,31,Q068
12,test,32,Q073
12,test,33,Q074
12,test,34,Q075
12,test,35,Q082
12,test,36,Q085
12,test,37,Q089
12,test,38,Q093
12,test,39,Q095
