split_seed,split_role,position,experiment_id
2,initial_train,0,Q008
2,initial_train,1,Q011
2,initial_train,2,Q015
2,initial_train,3,Q043
2,initial_train,4,Q049
2,initial_train,5,Q050
2,initial_train,6,Q053
2,initial_train,7,Q055
2,initial_train,8,Q060
2,initial_train,9,Q070
2,initial_train,10,Q074
2,initial_train,11,Q075
2,initial_train,12,Q080
2,initial_train,13,Q087
2,initial_train,14,Q095
2,acquisition_pool,0,Q004
2,acquisition_pool,1,Q005
2,acquisition_pool,2,Q006
2,acquisition_pool,3,Q007
2,acquisition_pool,4,Q009
2,acquisition_pool,5,Q010
2,acquisition_pool,6,Q012
2,acquisition_pool,7,Q013
2,acquisition_pool,8,Q014
2,acquisition_pool,9,Q016
2,acquisition_pool,10,Q019
2,acquisition_pool,11,Q020
2,acquisition_pool,12,Q021
2,acquisition_pool,13,Q022
2,acquisition_pool,14,Q024
2,acquisition_pool,15,Q026
2,acquisition_pool,16,Q027
2,acquisition_pool,17,Q033
2,acquisition_pool,18,Q034
2,acquisition_pool,19,Q035
2,acquisition_pool,20,Q036
2,acquisition_pool,21,Q039
2,acquisition_pool,22,Q041
2,acquisition_pool,23,Q042
2,acquisition_pool,24,Q046
2,acquisition_pool,25,Q052
2,acquisition_pool,26,Q054
2,acquisition_pool,27,Q056
2,acquisition_pool,28,Q062
2,acquisition_pool,29,Q064
2,acquisition_pool,30,Q069
2,acquisition_pool,31,Q071
2,acquisition_pool,32,Q072
2,acquisition_pool,33,Q077
2,acquisition_pool,34,Q079
2,acquisition_pool,35,Q081
2,acquisition_pool,36,Q082
2,acquisition_pool,37,Q085
2,acquisition_pool,38,Q090
2,acquisition_pool,39,Q093
2,test,0,Q001
2,test,1,Q002
2,test,2,Q003
2,test,3,Q017
2,test,4,Q018
2,test,5,Q023
2,test,6,Q025
2,test,7,Q028
2,test,8,Q029
2,test,9,Q030
2,test,10,Q031
2,test,11,Q032
2,test,12,Q037
2,test,13,Q038
2,test,14,Q040
2,test,15,Q044
2,test,16,Q045
2,test,17,Q047
2,test,18,Q048
2,test,19,Q051
2,test,20,Q057
2,test,21,Q058
2,test,22,Q059
2,test,23,Q061
2,test,24,Q063
2,test,25,Q065
2,test,26,Q066
2,test,27,Q067
2,test,28,Q068
2,test,29,Q073
2,test,30,Q076
2,test,31,Q078
2,test,32,Q083
2,test,33,Q084
2,test,34,Q086
2,test,35,Q088
2,test,36,Q089
2,test,37,Q091
2,test,38,Q092
2,test,39,Q094
