split_seed,split_role,position,experiment_id
19,initial_train,0,Q002
19,initial_train,1,Q004
19,initial_train,2,Q005
19,initial_train,3,Q008
19,initial_train,4,Q011
19,initial_train,5,Q016
19,initial_train,6,Q029
19,initial_train,7,Q031
19,initial_train,8,Q043
19,initial_train,9,Q053
19,initial_train,10,Q064
19,initial_train,11,Q066
19,initial_train,12,Q077
19,initial_train,13,Q078
19,initial_train,14,Q079
19,acquisition_pool,0,Q001
19,acquisition_pool,1,Q006
19,acquisition_pool,2,Q007
19,acquisition_pool,3,Q017
19,acquisition_pool,4,Q018
19,acquisition_pool,5,Q019
19,acquisition_pool,6,Q020
19,acquisition_pool,7,Q022
19,acquisition_pool,8,Q025
19,acquisition_pool,9,Q027
19,acquisition_pool,10,Q033
19,acquisition_pool,11,Q035
19,acquisition_pool,12,Q036
19,acquisition_pool,13,Q037
19,acquisition_pool,14,Q038
19,acquisition_pool,15,Q041
19,acquisition_pool,16,Q045
19,acquisition_pool,17,Q047
19,acquisition_pool,18,Q048
19,acquisition_pool,19,Q054
19,acquisition_pool,20,Q058
19,acquisition_pool,21,Q060
19,acquisition_pool,22,Q061
19,acquisition_pool,23,Q063
19,acquisition_pool,24,Q067
19,acquisition_pool,25,Q070
19,acquisition_pool,26,Q071
19,acquisition_pool,27,Q075
19,acquisition_pool,28,Q076
19,acquisition_pool,29,Q081
19,acquisition_pool,30,Q082
19,acquisition_pool,31,Q084
19,acquisition_pool,32,Q086
19,acquisition_pool,33,Q087
19,acquisition_pool,34,Q088
19,acquisition_pool,35,Q089
19,acquisition_pool,36,Q090
19,acquisition_pool,37,Q091
19,acquisition_pool,38,Q093
19,acquisition_pool,39,Q095
19,test,0,Q003
19,test,1,Q009
19,test,2,Q010
19,test,3,Q012
19,test,4,Q013
19,test,5,Q014
19,test,6,Q015
19,test,7,Q021
19,test,8,Q023
19,test,9,Q024
19,test,10,Q026
19,test,11,Q028
19,test,12,Q030
19,test,13,Q032
19,test,14,Q034
19,test,15,Q039
19,test,16,Q040
19,test,17,Q042
19,test,18,Q044
19,test,19,Q046
19,test,20,Q049
19,test,21,Q050
19,test,22,Q051
19,test,23,Q052
19,test,24,Q055
19,test,25,Q056
19,test,26,Q057
19,test,27,Q059
19,test,28,Q062
19,test,29,Q065
19,test,30,Q068
19,test,31,Q069
19,test,32,Q072
19,test,33,Q073
19,test,34,Q074
19,test,35,Q080
19,test,36,Q083
19,test,37,Q085
19,test,38,Q092
19,test,39,Q094
