split_seed,split_role,position,experiment_id
11,initial_train,0,Q005
11,initial_train,1,Q007
11,initial_train,2,Q008
11,initial_train,3,Q010
11,initial_train,4,Q012
11,initial_train,5,Q016
11,initial_train,6,Q019
11,initial_train,7,Q022
11,initial_train,8,Q025
11,initial_train,9,Q027
11,initial_train,10,Q030
11,initial_train,11,Q033
11,initial_train,12,Q034
11,initial_train,13,Q035
11,initial_train,14,Q036
11,initial_train,15,Q037
11,initial_train,16,Q038
11,initial_train,17,Q039
11,initial_train,18,Q040
11,initial_train,19,Q042
11,initial_train,20,Q044
11,initial_train,21,Q045
11,initial_train,22,Q048
11,initial_train,23,Q053
11,initial_train,24,Q055
11,initial_train,25,Q058
11,initial_train,26,Q061
11,initial_train,27,Q062
11,initial_train,28,Q065
11,initial_train,29,Q066
11,initial_train,30,Q068
11,initial_train,31,Q069
11,initial_train,32,Q070
11,initial_train,33,Q074
11,initial_train,34,Q076
11,initial_train,35,Q083
11,initial_train,36,Q089
11,initial_train,37,Q090
11,initial_train,38,Q091
11,initial_train,39,Q095
11,acquisition_pool,0,Q001
11,acquisition_pool,1,Q002
11,acquisition_pool,2,Q004
11,acquisition_pool,3,Q006
11,acquisition_pool,4,Q009
11,acquisition_pool,5,Q013
11,acquisition_pool,6,Q015
11,acquisition_pool,7,Q018
11,acquisition_pool,8,Q023
11,acquisition_pool,9,Q024
11,acquisition_pool,10,Q026
11,acquisition_pool,11,Q028
11,acquisition_pool,12,Q029
11,acquisition_pool,13,Q031
11,acquisition_pool,14,Q032
11,acquisition_pool,15,Q043
11,acquisition_pool,16,Q046
11,acquisition_pool,17,Q047
11,acquisition_pool,18,Q051
11,acquisition_pool,19,Q052
11,acquisition_pool,20,Q057
11,acquisition_pool,21,Q059
11,acquisition_pool,22,Q063
11,acquisition_pool,23,Q071
11,acquisition_pool,24,Q072
11,acquisition_pool,25,Q073
11,acquisition_pool,26,Q075
11,acquisition_pool,27,Q078
11,acquisition_pool,28,Q080
11,acquisition_pool,29,Q081
11,acquisition_pool,30,Q082
11,acquisition_pool,31,Q086
11,acquisition_pool,32,Q087
11,acquisition_pool,33,Q088
11,acquisition_pool,34,Q093
11,test,0,Q003
11,test,1,Q011
11,test,2,Q014
11,test,3,Q017
11,test,4,Q020
11,test,5,Q021
11,test,6,Q041
11,test,7,Q049
11,test,8,Q050
11,test,9,Q054
11,test,10,Q056
11,test,11,Q060
11,test,12,Q064
11,test,13,Q067
11,test,14,Q077
11,test,15,Q079
11,test,16,Q084
11,test,17,Q085
11,test,18,Q092
11,test,19,Q094
