split_seed,split_role,position,experiment_id
13,initial_train,0,Q002
13,initial_train,1,Q007
13,initial_train,2,Q014
13,initial_train,3,Q018
13,initial_train,4,Q023
13,initial_train,5,Q024
13,initial_train,6,Q026
13,initial_train,7,Q029
13,initial_train,8,Q030
13,initial_train,9,Q031
13,initial_train,10,Q034
13,initial_train,11,Q037
13,initial_train,12,Q038
13,initial_train,13,Q039
13,initial_train,14,Q045
13,initial_train,15,Q046
13,initial_train,16,Q048
13,initial_train,17,Q050
13,initial_train,18,Q053
13,initial_train,19,Q054
13,initial_train,20,Q055
13,initial_train,21,Q060
13,initial_train,22,Q062
13,initial_train,23,Q065
13,initial_train,24,Q066
13,initial_train,25,Q067
13,initial_train,26,Q069
13,initial_train,27,Q071
13,initial_train,28,Q074
13,initial_train,29,Q077
13,initial_train,30,Q080
13,initial_train,31,Q081
13,initial_train,32,Q082
13,initial_train,33,Q083
13,initial_train,34,Q085
13,initial_train,35,Q089
13,initial_train,36,Q091
13,initial_train,37,Q093
13,initial_train,38,Q094
13,initial_train,39,Q095
13,acquisition_pool,0,Q001
13,acquisition_pool,1,Q003
13,acquisition_pool,2,Q004
13,acquisition_pool,3,Q008
13,acquisition_pool,4,Q009
13,acquisition_pool,5,Q011
13,acquisition_pool,6,Q012
13,acquisition_pool,7,Q013
13,acquisition_pool,8,Q015
13,acquisition_pool,9,Q016
13,acquisition_pool,10,Q017
13,acquisition_pool,11,Q021
13,acquisition_pool,12,Q025
13,acquisition_pool,13,Q028
13,acquisition_pool,14,Q033
13,acquisition_pool,15,Q035
13,acquisition_pool,16,Q036
13,acquisition_pool,17,Q040
13,acquisition_pool,18,Q043
13,acquisition_pool,19,Q047
13,acquisition_pool,20,Q049
13,acquisition_pool,21,Q051
13,acquisition_pool,22,Q052
13,acquisition_pool,23,Q056
13,acquisition_pool,24,Q059
13,acquisition_pool,25,Q064
13,acquisition_pool,26,Q068
13,acquisition_pool,27,Q070
13,acquisition_pool,28,Q073
13,acquisition_pool,29,Q075
13,acquisition_pool,30,Q078
13,acquisition_pool,31,Q079
13,acquisition_pool,32,Q084
13,acquisition_pool,33,Q087
13,acquisition_pool,34,Q088
13,test,0,Q005
13,test,1,Q006
13,test,2,Q010
13,test,3,Q019
13,test,4,Q020
13,test,5,Q022
13,test,6,Q027
13,test,7,Q032
13,test,8,Q041
13,test,9,Q042
13,test,10,Q044
13,test,11,Q057
13,test,12,Q058
13,test,13,Q061
13,test,14,Q063
13,test,15,Q072
13,test,16,Q076
13,test,17,Q086
13,test,18,Q090
13,test,19,Q092
