split_seed,split_role,position,experiment_id
7,initial_train,0,Q002
7,initial_train,1,Q003
7,initial_train,2,Q005
7,initial_train,3,Q007
7,initial_train,4,Q008
7,initial_train,5,Q011
7,initial_train,6,Q013
7,initial_train,7,Q017
7,initial_train,8,Q018
7,initial_train,9,Q020
7,initial_train,10,Q024
7,initial_train,11,Q025
7,initial_train,12,Q027
7,initial_train,13,Q029
7,initial_train,14,Q030
7,initial_train,15,Q033
7,initial_train,16,Q036
7,initial_train,17,Q037
7,initial_train,18,Q038
7,initial_train,19,Q041
7,initial_train,20,Q043
7,initial_train,21,Q045
7,initial_train,22,Q046
7,initial_train,23,Q047
7,initial_train,24,Q049
7,initial_train,25,Q051
7,initial_train,26,Q054
7,initial_train,27,Q055
7,initial_train,28,Q057
7,initial_train,29,Q059
7,initial_train,30,Q066
7,initial_train,31,Q068
7,initial_train,32,Q075
7,initial_train,33,Q078
7,initial_train,34,Q083
7,initial_train,35,Q086
7,initial_train,36,Q088
7,initial_train,37,Q090
7,initial_train,38,Q091
7,initial_train,39,Q093
7,acquisition_pool,0,Q001
7,acquisition_pool,1,Q004
7,acquisition_pool,2,Q009
7,acquisition_pool,3,Q010
7,acquisition_pool,4,Q014
7,acquisition_pool,5,Q015
7,acquisition_pool,6,Q021
7,acquisition_pool,7,Q023
7,acquisition_pool,8,Q028
7,acquisition_pool,9,Q040
7,acquisition_pool,10,Q048
7,acquisition_pool,11,Q050
7,acquisition_pool,12,Q052
7,acquisition_pool,13,Q056
7,acquisition_pool,14,Q058
7,acquisition_pool,15,Q060
7,acquisition_pool,16,Q062
7,acquisition_pool,17,Q063
7,acquisition_pool,18,Q064
7,acquisition_pool,19,Q065
7,acquisition_pool,20,Q069
7,acquisition_pool,21,Q071
7,acquisition_pool,22,Q074
7,acquisition_pool,23,Q076
7,acquisition_pool,24,Q077
7,acquisition_pool,25,Q080
7,acquisition_pool,26,Q081
7,acquisition_pool,27,Q082
7,acquisition_pool,28,Q084
7,acquisition_pool,29,Q085
7,acquisition_pool,30,Q087
7,acquisition_pool,31,Q089
7,acquisition_pool,32,Q092
7,acquisition_pool,33,Q094
7,acquisition_pool,34,Q095
7,test,0,Q006
7,test,1,Q012
7,test,2,Q016
7,test,3,Q019
7,test,4,Q022
7,test,5,Q026
7,test,6,Q031
7,test,7,Q032
7,test,8,Q034
7,test,9,Q035
7,test,10,Q039
7,test,11,Q042
7,test,12,Q044
7,test,13,Q053
7,test,14,Q061
7,test,15,Q067
7,test,16,Q070
7,test,17,Q072
7,test,18,Q073
7,test,19,Q079
