split_seed,split_role,position,experiment_id
1,initial_train,0,Q004
1,initial_train,1,Q007
1,initial_train,2,Q009
1,initial_train,3,Q015
1,initial_train,4,Q016
1,initial_train,5,Q017
1,initial_train,6,Q018
1,initial_train,7,Q020
1,initial_train,8,Q021
1,initial_train,9,Q022
1,initial_train,10,Q023
1,initial_train,11,Q028
1,initial_train,12,Q030
1,initial_train,13,Q032
1,initial_train,14,Q035
1,initial_train,15,Q036
1,initial_train,16,Q039
1,initial_train,17,Q040
1,initial_train,18,Q044
1,initial_train,19,Q046
1,initial_train,20,Q048
1,initial_train,21,Q049
1,initial_train,22,Q056
1,initial_train,23,Q057
1,initial_train,24,Q058
1,initial_train,25,Q061
1,initial_train,26,Q062
1,initial_train,27,Q063
1,initial_train,28,Q064
1,initial_train,29,Q066
1,initial_train,30,Q067
1,initial_train,31,Q068
1,initial_train,32,Q069
1,initial_train,33,Q072
1,initial_train,34,Q080
1,initial_train,35,Q081
1,initial_train,36,Q084
1,initial_train,37,Q090
1,initial_train,38,Q093
1,initial_train,39,Q095
1,acquisition_pool,0,Q001
1,acquisition_pool,1,Q002
1,acquisition_pool,2,Q005
1,acquisition_pool,3,Q006
1,acquisition_pool,4,Q008
1,acquisition_pool,5,Q010
1,acquisition_pool,6,Q011
1,acquisition_pool,7,Q012
1,acquisition_pool,8,Q013
1,acquisition_pool,9,Q014
1,acquisition_pool,10,Q019
1,acquisition_pool,11,Q024
1,acquisition_pool,12,Q025
1,acquisition_pool,13,Q026
1,acquisition_pool,14,Q029
1,acquisition_pool,15,Q031
1,acquisition_pool,16,Q034
1,acquisition_pool,17,Q038
1,acquisition_pool,18,Q041
1,acquisition_pool,19,Q045
1,acquisition_pool,20,Q050
1,acquisition_pool,21,Q053
1,acquisition_pool,22,Q055
1,acquisition_pool,23,Q059
1,acquisition_pool,24,Q065
1,acquisition_pool,25,Q071
1,acquisition_pool,26,Q074
1,acquisition_pool,27,Q076
1,acquisition_pool,28,Q079
1,acquisition_pool,29,Q082
1,acquisition_pool,30,Q085
1,acquisition_pool,31,Q086
1,acquisition_pool,32,Q088
1,acquisition_pool,33,Q091
1,acquisition_pool,34,Q094
1,test,0,Q003
1,test,1,Q027
1,test,2,Q033
1,test,3,Q037
1,test,4,Q042
1,test,5,Q043
1,test,6,Q047
1,test,7,Q051
1,test,8,Q052
1,test,9,Q054
1,test,10,Q060
1,test,11,Q070
1,test,12,Q073
1,test,13,Q075
1,test,14,Q077
1,test,15,Q078
1,test,16,Q083
1,test,17,Q087
1,test,18,Q089
1,test,19,Q092
