split_seed,split_role,position,experiment_id
6,initial_train,0,Q004
6,initial_train,1,Q005
6,initial_train,2,Q006
6,initial_train,3,Q007
6,initial_train,4,Q010
6,initial_train,5,Q012
6,initial_train,6,Q014
6,initial_train,7,Q019
6,initial_train,8,Q026
6,initial_train,9,Q028
6,initial_train,10,Q029
6,initial_train,11,Q031
6,initial_train,12,Q032
6,initial_train,13,Q035
6,initial_train,14,Q037
6,initial_train,15,Q038
6,initial_train,16,Q045
6,initial_train,17,Q049
6,initial_train,18,Q052
6,initial_train,19,Q055
6,initial_train,20,Q058
6,initial_train,21,Q059
6,initial_train,22,Q060
6,initial_train,23,Q063
6,initial_train,24,Q064
6,initial_train,25,Q065
6,initial_train,26,Q066
6,initial_train,27,Q067
6,initial_train,28,Q070
6,initial_train,29,Q071
6,initial_train,30,Q075
6,initial_train,31,Q076
6,initial_train,32,Q079
6,initial_train,33,Q081
6,initial_train,34,Q083
6,initial_train,35,Q085
6,initial_train,36,Q091
6,initial_train,37,Q093
6,initial_train,38,Q094
6,initial_train,39,Q095
6,acquisition_pool,0,Q002
6,acquisition_pool,1,Q003
6,acquisition_pool,2,Q009
6,acquisition_pool,3,Q011
6,acquisition_pool,4,Q016
6,acquisition_pool,5,Q017
6,acquisition_pool,6,Q020
6,acquisition_pool,7,Q023
6,acquisition_pool,8,Q024
6,acquisition_pool,9,Q027
6,acquisition_pool,10,Q030
6,acquisition_pool,11,Q034
6,acquisition_pool,12,Q036
6,acquisition_pool,13,Q039
6,acquisition_pool,14,Q040
6,acquisition_pool,15,Q041
6,acquisition_pool,16,Q043
6,acquisition_pool,17,Q044
6,acquisition_pool,18,Q046
6,acquisition_pool,19,Q047
6,acquisition_pool,20,Q048
6,acquisition_pool,21,Q050
6,acquisition_pool,22,Q051
6,acquisition_pool,23,Q053
6,acquisition_pool,24,Q057
6,acquisition_pool,25,Q062
6,acquisition_pool,26,Q069
6,acquisition_pool,27,Q072
6,acquisition_pool,28,Q073
6,acquisition_pool,29,Q080
6,acquisition_pool,30,Q086
6,acquisition_pool,31,Q087
6,acquisition_pool,32,Q088
6,acquisition_pool,33,Q089
6,acquisition_pool,34,Q092
6,test,0,Q001
6,test,1,Q008
6,test,2,Q013
6,test,3,Q015
6,test,4,Q018
6,test,5,Q021
6,test,6,Q022
6,test,7,Q025
6,test,8,Q033
6,test,9,Q042
6,test,10,Q054
6,test,11,Q056
6,test,12,Q061
6,test,13,Q068
6,test,14,Q074
6,test,15,Q077
6,test,16,Q078
6,test,17,Q082
6,test,18,Q084
6,test,19,Q090
