split_seed,split_role,position,experiment_id
16,initial_train,0,Q004
16,initial_train,1,Q005
16,initial_train,2,Q007
16,initial_train,3,Q008
16,initial_train,4,Q009
16,initial_train,5,Q012
16,initial_train,6,Q015
16,initial_train,7,Q017
16,initial_train,8,Q021
16,initial_train,9,Q023
16,initial_train,10,Q024
16,initial_train,11,Q025
16,initial_train,12,Q028
16,initial_train,13,Q030
16,initial_train,14,Q035
16,initial_train,15,Q036
16,initial_train,16,Q039
16,initial_train,17,Q040
16,initial_train,18,Q041
16,initial_train,19,Q042
16,initial_train,20,Q048
16,initial_train,21,Q053
16,initial_train,22,Q054
16,initial_train,23,Q055
16,initial_train,24,Q056
16,initial_train,25,Q060
16,initial_train,26,Q062
16,initial_train,27,Q064
16,initial_train,28,Q065
16,initial_train,29,Q069
16,initial_train,30,Q070
16,initial_train,31,Q071
16,initial_train,32,Q077
16,initial_train,33,Q079
16,initial_train,34,Q080
16,initial_train,35,Q081
16,initial_train,36,Q086
16,initial_train,37,Q091
16,initial_train,38,Q092
16,initial_train,39,Q093
16,acquisition_pool,0,Q002
16,acquisition_pool,1,Q006
16,acquisition_pool,2,Q014
16,acquisition_pool,3,Q016
16,acquisition_pool,4,Q019
16,acquisition_pool,5,Q020
16,acquisition_pool,6,Q022
16,acquisition_pool,7,Q026
16,acquisition_pool,8,Q029
16,acquisition_pool,9,Q031
16,acquisition_pool,10,Q032
16,acquisition_pool,11,Q033
16,acquisition_pool,12,Q034
16,acquisition_pool,13,Q037
16,acquisition_pool,14,Q044
16,acquisition_pool,15,Q049
16,acquisition_pool,16,Q050
16,acquisition_pool,17,Q051
16,acquisition_pool,18,Q052
16,acquisition_pool,19,Q057
16,acquisition_pool,20,Q058
16,acquisition_pool,21,Q059
16,acquisition_pool,22,Q061
16,acquisition_pool,23,Q063
16,acquisition_pool,24,Q068
16,acquisition_pool,25,Q072
16,acquisition_pool,26,Q073
16,acquisition_pool,27,Q074
16,acquisition_pool,28,Q075
16,acquisition_pool,29,Q076
16,acquisition_pool,30,Q085
16,acquisition_pool,31,Q087
16,acquisition_pool,32,Q088
16,acquisition_pool,33,Q089
16,acquisition_pool,34,Q094
16,test,0,Q001
16,test,1,Q003
16,test,2,Q010
16,test,3,Q011
16,test,4,Q013
16,test,5,Q018
16,test,6,Q027
16,test,7,Q038
16,test,8,Q043
16,test,9,Q045
16,test,10,Q046
16,test,11,Q047
16,test,12,Q066
16,test,13,Q067
16,test,14,Q078
16,test,15,Q082
16,test,16,Q083
16,test,17,Q084
16,test,18,Q090
16,test,19,Q095
